name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon-offset,icon-offset-units,icon,lon,lat,gx_media_links
Dendra Systems (Australia),AI- and drone-enabled Ecosystem restoration | https://dendra.io/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,151.1647155,-32.5702789,
CarbonChain,Carbon accounting software | https://www.carbonchain.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1495082,51.5394336,
TrueCircle Technologies Ltd,recycling using AI,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1121467,51.5135362,
Tender Food,Plant-based meat substitutes | https://tenderfood.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.106323,42.3825723,
Flair,Smart home energy automation | https://flair.co/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4086609,37.7816759,
"MicroByre, Inc.",Synthetic biology services for engineering bacteria | https://microbyre.com/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2929584,37.8533538,
Yard Stick (MA),Soil carbon monitoring platform | https://www.useyardstick.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.149055,42.3772782,
Noble Research Institute,Regenerative Grazing Practices | Research and Education,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-97.0867899,34.1857525,
Swift Solar,Solar Panel Developer | https://www.swiftsolar.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2438154,37.4970832,
Vesta (formerly Project Vesta),Olivine rock based carbon removal | https://www.vesta.earth/ | Remote first | Ocean mineralization | San Francisco,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.424627,37.7613599,
Thalo Labs,GHG measurement and mitigation,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9713531,40.6985551,
New Forests,Investment management of land,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3935863,37.7917666,
Loam Bio (Australia),Soil microbial carbon capture | https://www.loambio.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,149.1207308,-33.2442924,
Anthro Energy,Lithium ion battery developer | https://www.anthroenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.7852096,37.2537855,
PosiGen (New Orleans),Solar Energy and Energy Efficiency | https://www.posigen.com/ | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-90.1729837,29.9691526,
PosiGen (CT),Solar energy and Energy efficiency | https://www.posigen.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.1565943,41.1863227,
PosiGen (NJ),Solar energy and Energy efficiency | https://www.posigen.com/ | Remote work options: yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-74.7565689,40.2444992,
PosiGen (Baton Rouge),Solar energy and Energy efficiency | https://www.posigen.com/ | Remote work options: yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-91.0897839,30.3750121,
PosiGen (PA),Solar energy and Energy efficiency | https://www.posigen.com/ | Remote work options: yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-75.2973939,40.1072031,
A2P Energy Solution (Rajpura),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,76.5939516,30.483997,
A2P Energy Solution (Chandigarh),https://www.a2penergy.com,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,76.7704193,30.7228959,
NextEra Energy (FL),"Fleet charging | https://www.nexteraenergy.com/ | NOTE: NextEra Mobility, formerly eIQ Mobility, is part of NextEra Energy",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-80.0594863,26.8604583,
NextEra Energy (SF),"Fleet charging | https://www.nexteraenergy.com/ | NOTE: NextEra Mobility, formerly eIQ Mobility, is part of NextEra Energy",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3967727,37.7933931,
NextEra Energy (Desert Center),https://www.nexteraenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-115.4004287,33.7133313,
Spoiler Alert,Waste reduction in Food and CPG | https://www.spoileralert.com/ | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.0753582,42.3470414,
Living Carbon (SC),Nature-based solutions i.e. genetically enhanced plants | https://www.livingcarbon.com/ | Remote work options: Yes | ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-80.0279518,32.9188583,
Agriconomie,https://www.agriconomie.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4.3908495,48.7405698,
Kyte,EV delivery subscription | https://www.drivekyte.com,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4011633,37.789722,
PulPac AB,Sustainable packing | https://www.pulpac.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,11.9463068,57.6540259,
Roslin Technologies,cultivated meat,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-3.1999037,55.8653498,
MTA E-Mobility Pvt. Ltd.,electric mobility,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,77.2744038,28.2113857,
Alvéole (HQ/Canada),Beekeeping solutions | Apiculture urbaine à Montréal,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.6406159,45.5375279,
Alvéole (US),Beekeeping solutions ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-87.6861432,41.8904723,
Alvéole (France),Beekeeping solutions,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2.1807021,48.7300065,
ToffeeAM,Sustainable additive manufacturing software platform,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1383522,51.5160742,
Airly,Air quality sensors,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,19.9672905,50.0664067,
Sunsave,Solar and storage subscription | https://www.sunsave.energy/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.188904,51.4999,
Carbon Re,industrial decarbonization,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0970634,51.5045827,
AeroShield Materials,Energy-efficient windows | https://www.aeroshield.tech/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.1319608,42.2449205,
Electric Era Technologies,EV charging station provider | https://electriceratechnologies.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3791363,47.6500569,
Electric Era,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3652563,47.6580248,
Hyperion Robotics (HQ),3D printed sustainable concrete,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,21.7533041,40.2788249,
Embue,Building energy efficiency,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.057066,42.3503027,
1S1 Energy,Green Hydrogen | Portola Valley,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2101874,37.3669943,
Biotic,bio-based plastic alternatives | https://www.biotic-labs.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,34.9953953,32.8160104,
Over Easy Solar AS,Rooftop solar cells,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,10.7163902,59.9423288,
Serentica Renewables,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,77.0903542,28.5018858,
Aspen Power Partners,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-96.803308,32.7939118,
Alight,Solar | https://www.alight.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,18.0623464,59.3419472,
CF Pathways,Sustainability and energy transition services | https://cf-pathways.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.2149643,51.4941826,
VoLo Earth Ventures,"https://www.voloearth.com/ | Snowmass Village, CO",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-106.9378207,39.2130418,
Wavemaker Partners,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,103.838535,1.2901019,
Three Cairns Group,Climate-focusses philanthropic and investment firm | https://www.threecairnsgroup.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.972037,40.7624743,
Renaissance Fusion,Nuclear fusion | https://renfusion.eu/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,5.6747054,45.1930266,
44.01 (UK),Carbon removal via mineralization | https://4401.earth/join-us/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0885446,51.5110759,
44.01 (Oman),Carbon removal via mineralization | https://4401.earth/join-us/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,58.3828717,23.5880307,
44.01 (UAE),Carbon removal via mineralization | https://4401.earth/join-us/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,55.1541397,24.9834388,
75F (India),Smart buildings,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,77.674769,12.9254342,
Kobold Metals (HQ Berkeley),AI-powered mineral exploration | https://www.koboldmetals.com | Remote work options: Yes ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2681737,37.8717191,
Straw Innovations,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,121.3385006,14.2148117,
Kelp Blue (Namibia),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,15.1545475,-26.6450828,
Kelp Blue (Namibia),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,17.0805161,-22.5762447,
Kelp Blue (NL),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4.9177586,52.3494484,
Proterra (Burlingame CA),"Battery tech, Drive trains, charging infrastructure and electric buses | https://www.proterra.com | Pt of Volvo Group",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3801422,37.5974197,
Proterra (Walnut CA),"Battery tech, Drive trains, charging infrastructure and electric buses | https://www.proterra.com | Pt of Volvo Group",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-117.847505,34.015014,
Proterra (Greenville SC),"Battery tech, Drive trains, charging infrastructure and electric buses | https://www.proterra.com | Pt of Volvo Group",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-82.3484127,34.8039552,
Brimstone (ID),"Brimstone lab | Carbon-negative cement | https://www.brimstone.com/ | Location: not precise, in Ketchum",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-114.3636619,43.6807402,
Blue Planet Systems,Carbon capture by mineralization | https://www.blueplanetsystems.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.9750208,37.2369568,
Hoxton Farms,Animal fat cultivation |,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0823988,51.5265604,
Ceres (MA),"Non-profit, advocacy for sustainability | https://www.ceres.org",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.0610129,42.3530268,
Ceres (CA),"Non-profit, advocacy for sustainability | https://www.ceres.org",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.40202,37.7917219,
My Forest Foods,Plant-based Meat Alternatives | https://myforestfoods.com/careers,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.695861,42.7530708,
CarbonBuilt (Manhattan Beach CA),Low carbon cement | https://www.carbonbuilt.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.3924396,33.9009564,
Syzygy Plasmonics,Photocatalytic reactors | https://plasmonics.tech/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-95.3715457,29.5967241,
Vow,Cultured meat |,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,151.1992143,-33.9152149,
Swell Energy,"smart energy, commercial and residential | https://www.swellenergy.com/jobs",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.4900206,34.0170697,
Volta Trucks (Stockholm),Electric trucks | https://voltatrucks.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,18.0549188,59.3344993,
The Modern Milkman,Plastic packaging-free groceries | https://themodernmilkman.co.uk/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.5646319,51.2620632,
ETF Partners,Sustainabilty Investments,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1336818,51.500085,
Grantham Foundation for the Protection of the Environment,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.0500279,42.3567397,
Carbon Gap,European Policy Center | https://carbongap.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4.3666216,50.841003,
Terra Global Capital,Venture Capital and Private Equity Principals | https://www.terraglobalcapital.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2755391,37.7945214,
Quadrature Climate Foundation,https://quadrature.ai/foundation | ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0825764,51.5139422,
Carbon Direct (NY),"Carbon management platform for businesses | https://www.carbon-direct.com/ |  Remote work options: Yes, Remote first.",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-74.0138771,40.7028885,
ClientEarth (Brussels),Environmental law charity | https://www.clientearth.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4.369029,50.838111,
ClientEarth (London),Environmental law charity | https://www.clientearth.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.1072278,51.5515584,
ClientEarth (Germany),Environmental law charity | https://www.clientearth.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,13.3847203,52.522937,
ClientEarth (Warsaw),Environmental law charity | https://www.clientearth.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,21.0190283,52.2218411,
Ultraviolette Automotive (R&D Center),https://www.ultraviolette.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,77.6409909,12.9538248,
Ultraviolette Automotive (Factory 1),https://www.ultraviolette.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,77.6406875,12.7656875,
Ultraviolette Automotive,https://www.ultraviolette.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,76.9997693,11.0796185,
I-Rox,Electrified mining,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,1.4006758,43.5502669,
Deep Science Ventures,Venture Capital | https://www.deepscienceventures.com | Also see their portfolio companies jobs board @ https://jobs.deepscienceventures.com/jobs,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0825596,51.5105682,
Climax Foods,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2912063,37.8533562,
Mori (HQ / MA),Sustainable packaging | https://www.mori.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.0727119,42.3809947,
Mori (DC),Sustainable packaging | https://www.mori.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.027341,38.895257,
Mori (Mexico),https://www.mori.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-99.1851463,19.3537378,
Mori (CA),https://www.mori.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.6725691,36.6821295,
Scale Microgrid Solutions (HQ NJ),Solar-powered microgrids | https://www.scalemicrogrids.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-74.1206433,40.9784179,
The Leaf Protein Co (US),https://theleafprotein.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-75.2117599,38.7647064,
Yeastime,https://www.yeastime.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,12.6419311,41.9695764,
Multus,https://multus.bio/ | Cultivated meat,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.2243873,51.5157553,
Crush Dynamics Inc.,Plant-based food alternatives,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-119.6737728,49.5845533,
Zero Cow Factory,Animal-free dairy | https://zerocowfactory.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,72.7582301,21.1446585,
Cultivated Biosciences SA,Plant-based dairy | https://www.cultivated.bio/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,8.6867147,47.2197298,
Planet A Foods,Sustainable food ingredients | https://planet-a-foods.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,11.4488414,48.1122201,
Thrive Market (HQ),,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.4350814,33.9844468,
Greencovery,Upcycling side-stream food | https://greencovery.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,5.6480669,51.9747518,
The Leaf Protein Co (Australia),https://theleafprotein.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,145.0877123,-37.8411365,
ZeroAvia (Cirencester UK),Hydrogen electric aircraft | https://zeroavia.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.6289418,52.0738445,
ZeroAvia (US),Hydrogen electric aircraft | https://zeroavia.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.4023346,36.8889571,
Power Factors (US),Clean energy asset management platform | https://powerfactors.com/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3942562,37.7915035,
Power Factors (Canada),Clean energy asset management platform | https://powerfactors.com/ | Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.4654083,45.4668024,
Umaro Foods,https://www.umarofoods.com/ | seaweed-based foods,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2557077,37.8687904,
Sylvera,Carbon markets | https://www.sylvera.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0883143,51.5292262,
Calyx Global,Carbon credit ratings,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-106.2925238,39.2508229,
Climate X,Climate-risk analytics platform | https://www.climate-x.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0783427,51.5184566,
Pale Blue Dot,Venture Capital,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,13.0180021,55.6076087,
Phoenix Tailings (HQ Woburn),Sustainable mining and metals production | https://phoenixtailings.com/ | Massachusetts,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.1195067,42.4761691,
Scout Clean Energy,Renewable energy development,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-105.2200127,40.0229233,
